0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:04 +0100] "GET /camunda/app/cockpit/assets/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:04 +0100] "GET /camunda/app/cockpit/scripts/camunda-cockpit-ui.js?bust=7.9.0 HTTP/1.1" 200 1515483
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/cockpit/plugin/cockpitPlugins/static/app/plugin.js?bust=7.9.0 HTTP/1.1" 200 206427
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/cockpit/plugin/cockpitPlugins/static/app/plugin.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/engine/engine/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/app/cockpit/fonts/bpmn.woff HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/app/cockpit/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/app/cockpit/default/ HTTP/1.1" 200 5376
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/cockpit/plugin/cockpitPlugins/static/app/plugin.css HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/cockpit/plugin/cockpitPlugins/static/app/plugin.js?bust=7.9.0 HTTP/1.1" 200 206427
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/engine/engine/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:08:05 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/default/ HTTP/1.1" 200 8375
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/styles/styles.css?bust=7.9.0 HTTP/1.1" 200 194352
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/styles/user-styles.css?bust=7.9.0 HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/default/styles/user-styles.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/assets/images/animated-logo-grey-48.gif HTTP/1.1" 200 19273
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/scripts/config.js HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/camunda-tasklist-bootstrap.js?bust=7.9.0 HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/assets/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/app/tasklist/scripts/camunda-tasklist-ui.js?bust=7.9.0 HTTP/1.1" 200 1395193
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/api/tasklist/plugin/tasklistPlugins/static/app/plugin.css HTTP/1.1" 200 4033
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/api/tasklist/plugin/tasklistPlugins/static/app/plugin.js?bust=7.9.0 HTTP/1.1" 200 25991
0:0:0:0:0:0:0:1 - - [16/Dec/2018:18:27:28 +0100] "GET /camunda/api/engine/engine/ HTTP/1.1" 200 31
